date,predict
2022-01-20,1.042
2022-01-21,1.0
2022-01-22,0.0
2022-01-23,1.0
2022-01-24,1.054
2022-01-25,1.125
2022-01-26,0.933
2022-01-27,1.0
2022-01-28,0.944
2022-01-29,1.0
2022-01-30,0.667
2022-01-31,1.067
2022-02-01,1.033
2022-02-02,0.633
2022-02-03,0.34
2022-02-04,0.75
2022-02-05,0.9
2022-02-06,0.636
2022-02-07,0.66
2022-02-08,0.8
2022-02-09,0.545
2022-02-10,0.857
2022-02-11,0.933
2022-02-12,0.75
2022-02-13,0.8
2022-02-14,0.55
2022-02-15,0.72
2022-02-16,1.098
2022-02-17,1.107
2022-02-18,0.667
2022-02-19,0.917
2022-02-20,0.812
2022-02-21,0.933
2022-02-22,1.031
2022-02-23,1.079
2022-02-24,0.938
2022-02-25,0.867
2022-02-26,0.938
2022-02-27,1.167
2022-02-28,0.848
2022-03-01,0.903
2022-03-02,0.929
2022-03-03,1.067
2022-03-04,0.882
2022-03-05,0.667
2022-03-06,1.0
2022-03-07,1.083
2022-03-08,1.0
2022-03-09,1.0
2022-03-10,1.087
2022-03-11,0.69
2022-03-12,0.75
2022-03-13,1.0
2022-03-14,0.808
2022-03-15,0.875
2022-03-16,0.75
2022-03-17,0.75
2022-03-18,0.8
2022-03-19,0.5
2022-03-20,0.556
2022-03-21,0.6
2022-03-22,1.0
2022-03-23,1.053
2022-03-24,1.385
2022-03-25,1.0
2022-03-26,1.0
2022-03-27,0.667
2022-03-28,0.846
2022-03-29,1.212
2022-03-30,0.981
2022-03-31,1.146
2022-04-01,1.2
2022-04-02,1.0
2022-04-03,0.875
2022-04-04,1.0
2022-04-05,0.875
2022-04-06,1.059
2022-04-07,1.043
2022-04-08,0.952
2022-04-09,1.0
2022-04-10,1.0
2022-04-11,1.13
2022-04-12,1.224
2022-04-13,0.907
2022-04-14,0.939
2022-04-15,1.0
2022-04-16,0.6
2022-04-17,0.667
2022-04-18,1.091
2022-04-19,1.217
2022-04-20,0.975
2022-04-21,1.133
2022-04-22,0.857
2022-04-23,1.182
2022-04-24,0.833
2022-04-25,1.0
2022-04-26,0.939
2022-04-27,1.132
2022-04-28,1.157
2022-04-29,0.955
2022-04-30,0.5
2022-05-01,1.2
2022-05-02,1.038
2022-05-03,1.103
2022-05-04,1.026
2022-05-05,1.049
2022-05-06,0.966
2022-05-07,1.0
2022-05-08,0.75
2022-05-09,0.762
2022-05-10,0.741
2022-05-11,0.909
2022-05-12,1.0
2022-05-13,1.286
2022-05-14,1.333
2022-05-15,1.333
2022-05-16,1.0
2022-05-17,0.955
2022-05-18,1.0
2022-05-19,0.967
2022-05-20,0.895
2022-05-21,0.5
2022-05-22,1.2
2022-05-23,0.889
2022-05-24,0.8
2022-05-25,1.12
2022-05-26,0.944
2022-05-27,0.857
2022-05-28,0.6
2022-05-29,0.833
2022-05-30,0.818
2022-05-31,1.143
2022-06-01,0.945
2022-06-02,0.923
2022-06-03,0.963
2022-06-04,1.0
2022-06-05,1.0
2022-06-06,0.938
2022-06-07,0.9
2022-06-08,1.0
2022-06-09,1.074
2022-06-10,0.778
2022-06-11,0.889
2022-06-12,0.6
2022-06-13,1.0
2022-06-14,0.935
2022-06-15,0.864
2022-06-16,0.909
2022-06-17,0.963
2022-06-18,1.0
2022-06-19,1.0
2022-06-20,0.949
2022-06-21,1.0
2022-06-22,0.943
2022-06-23,0.947
2022-06-24,1.125
2022-06-25,1.0
2022-06-26,1.0
2022-06-27,0.95
2022-06-28,1.045
2022-06-29,0.8
2022-06-30,1.0
2022-07-01,0.774
2022-07-02,0.333
2022-07-03,1.0
2022-07-04,1.125
2022-07-05,1.0
2022-07-06,1.156
2022-07-07,1.054
2022-07-08,1.043
2022-07-09,1.167
2022-07-10,0.625
2022-07-11,1.0
2022-07-12,0.95
2022-07-13,1.048
2022-07-14,0.963
2022-07-15,1.059
2022-07-16,0.857
2022-07-17,1.25
2022-07-18,0.933
2022-07-19,0.92
2022-07-20,0.667
2022-07-21,1.172
2022-07-22,0.962
2022-07-23,1.167
2022-07-24,1.0
2022-07-25,0.786
2022-07-26,1.175
2022-07-27,0.667
2022-07-28,0.774
2022-07-29,0.531
2022-07-30,1.375
2022-07-31,1.0
2022-08-01,0.864
2022-08-02,1.0
2022-08-03,1.0
2022-08-04,0.833
2022-08-05,0.842
2022-08-06,0.75
2022-08-07,0.7
2022-08-08,0.962
2022-08-09,0.846
2022-08-10,1.0
2022-08-11,1.026
2022-08-12,0.923
2022-08-13,0.778
2022-08-14,0.8
2022-08-15,0.944
2022-08-16,1.029
2022-08-17,1.065
2022-08-18,0.706
2022-08-19,0.731
2022-08-20,0.727
2022-08-21,1.182
2022-08-22,1.0
2022-08-23,0.862
2022-08-24,0.862
2022-08-25,0.821
2022-08-26,1.0
2022-08-27,0.857
2022-08-28,1.167
2022-08-29,1.159
2022-08-30,1.065
2022-08-31,0.957
2022-09-01,0.872
2022-09-02,1.038
2022-09-03,1.2
2022-09-04,0.571
2022-09-05,0.917
2022-09-06,0.944
2022-09-07,0.893
2022-09-08,0.95
2022-09-09,0.909
2022-09-10,1.167
2022-09-11,0.833
2022-09-12,0.947
2022-09-13,0.966
2022-09-14,0.795
2022-09-15,0.882
2022-09-16,0.6
2022-09-17,1.0
2022-09-18,0.333
2022-09-19,1.0
2022-09-20,0.636
2022-09-21,0.824
2022-09-22,0.625
2022-09-23,0.75
2022-09-24,1.0
2022-09-25,1.0
2022-09-26,0.842
2022-09-27,0.96
2022-09-28,0.75
2022-09-29,0.758
2022-09-30,0.935
2022-10-01,1.0
2022-10-02,1.0
2022-10-03,0.778
2022-10-04,0.818
2022-10-05,0.778
2022-10-06,0.957
2022-10-07,0.643
2022-10-08,0.714
2022-10-09,0.667
2022-10-10,0.769
2022-10-11,1.087
2022-10-12,0.895
2022-10-13,1.02
2022-10-14,1.056
2022-10-15,0.818
2022-10-16,0.818
2022-10-17,0.926
2022-10-18,0.784
2022-10-19,1.048
2022-10-20,0.923
2022-10-21,0.864
2022-10-22,0.0
2022-10-23,0.833
2022-10-24,0.8
2022-10-25,0.931
2022-10-26,0.712
2022-10-27,0.483
2022-10-28,0.552
2022-10-29,1.0
2022-10-30,0.667
2022-10-31,0.917
2022-11-01,0.889
2022-11-02,0.964
2022-11-03,0.88
2022-11-04,0.9
2022-11-05,1.0
2022-11-06,1.0
2022-11-07,0.333
2022-11-08,0.769
2022-11-09,0.254
2022-11-10,0.32
2022-11-11,0.577
2022-11-12,0.6
2022-11-13,0.833
2022-11-14,0.393
2022-11-15,0.56
2022-11-16,0.882
2022-11-17,0.875
2022-11-18,0.815
2022-11-19,0.857
2022-11-20,0.667
2022-11-21,0.806
2022-11-22,0.792
2022-11-23,0.731
2022-11-24,0.909
2022-11-25,0.727
2022-11-26,1.0
2022-11-27,0.75
2022-11-28,0.5
2022-11-29,0.733
2022-11-30,0.846
2022-12-01,1.167
2022-12-02,0.765
2022-12-03,0.75
2022-12-04,0.833
2022-12-05,1.045
2022-12-06,0.68
2022-12-07,1.0
2022-12-08,1.086
2022-12-09,0.87
2022-12-10,0.75
2022-12-11,0.875
2022-12-12,0.923
2022-12-13,0.76
2022-12-14,0.719
2022-12-15,0.946
2022-12-16,0.795
2022-12-17,0.667
2022-12-18,0.667
2022-12-19,0.714
2022-12-20,0.771
2022-12-21,1.13
2022-12-22,1.13
2022-12-23,1.179
2022-12-24,0.8
2022-12-25,0.667
2022-12-26,1.167
2022-12-27,0.727
2022-12-28,0.778
2022-12-29,1.0
2022-12-30,1.143
2022-12-31,0.667
2023-01-01,0.8
2023-01-02,1.125
2023-01-03,1.188
2023-01-04,0.457
2023-01-05,0.714
2023-01-06,0.875
2023-01-07,1.111
2023-01-08,0.714
2023-01-09,0.771
2023-01-10,0.836
2023-01-11,0.761
2023-01-12,0.889
2023-01-13,0.778
2023-01-14,0.6
2023-01-15,0.9
2023-01-16,0.944
2023-01-17,1.0
2023-01-18,0.429
2023-01-19,0.815
2023-01-20,0.917
2023-01-21,0.8
2023-01-22,1.25
2023-01-23,1.1
2023-01-24,1.045
2023-01-25,1.0
2023-01-26,0.805
2023-01-27,1.056
2023-01-28,0.75
2023-01-29,1.0
2023-01-30,0.654
2023-01-31,0.864
2023-02-01,0.855
2023-02-02,0.831
2023-02-03,0.81
2023-02-04,1.2
2023-02-05,1.0
2023-02-06,0.879
2023-02-07,0.857
2023-02-08,0.968
2023-02-09,0.667
2023-02-10,0.933
2023-02-11,0.625
2023-02-12,1.0
2023-02-13,1.0
2023-02-14,1.036
2023-02-15,0.783
2023-02-16,1.12
2023-02-17,1.125
2023-02-18,0.875
2023-02-19,0.962
2023-02-20,1.036
2023-02-21,1.091
2023-02-22,0.794
2023-02-23,0.852
2023-02-24,1.029
2023-02-25,1.111
2023-02-26,1.0
2023-02-27,1.0
2023-02-28,1.267
2023-03-01,1.261
2023-03-02,0.931
2023-03-03,0.698
2023-03-04,0.692
2023-03-05,0.8
2023-03-06,0.731
2023-03-07,0.618
2023-03-08,0.833
2023-03-09,0.879
2023-03-10,0.825
2023-03-11,0.636
2023-03-12,0.5
2023-03-13,0.812
2023-03-14,0.193
2023-03-15,0.762
2023-03-16,0.467
2023-03-17,0.725
2023-03-18,0.625
2023-03-19,0.667
2023-03-20,0.72
