date,predict
2022-01-20,0.826
2022-01-21,0.839
2022-01-22,0.4
2022-01-23,1.0
2022-01-24,0.867
2022-01-25,0.625
2022-01-26,0.783
2022-01-27,1.04
2022-01-28,1.176
2022-01-29,0.833
2022-01-30,1.0
2022-01-31,1.217
2022-02-01,1.065
2022-02-02,0.789
2022-02-03,0.972
2022-02-04,0.879
2022-02-05,1.2
2022-02-06,1.0
2022-02-07,1.034
2022-02-08,0.931
2022-02-09,1.026
2022-02-10,1.105
2022-02-11,0.861
2022-02-12,1.111
2022-02-13,1.0
2022-02-14,0.929
2022-02-15,0.909
2022-02-16,1.059
2022-02-17,0.921
2022-02-18,1.087
2022-02-19,0.8
2022-02-20,1.0
2022-02-21,0.789
2022-02-22,1.042
2022-02-23,0.875
2022-02-24,0.806
2022-02-25,1.077
2022-02-26,0.714
2022-02-27,1.167
2022-02-28,1.079
2022-03-01,1.051
2022-03-02,1.037
2022-03-03,0.957
2022-03-04,0.76
2022-03-05,1.0
2022-03-06,0.333
2022-03-07,0.892
2022-03-08,1.0
2022-03-09,0.963
2022-03-10,0.714
2022-03-11,0.708
2022-03-12,1.0
2022-03-13,0.5
2022-03-14,1.048
2022-03-15,1.0
2022-03-16,0.966
2022-03-17,0.929
2022-03-18,0.933
2022-03-19,1.1
2022-03-20,1.0
2022-03-21,1.0
2022-03-22,1.12
2022-03-23,1.061
2022-03-24,0.773
2022-03-25,1.0
2022-03-26,1.286
2022-03-27,1.167
2022-03-28,0.895
2022-03-29,1.0
2022-03-30,0.703
2022-03-31,0.892
2022-04-01,0.963
2022-04-02,1.4
2022-04-03,1.333
2022-04-04,0.912
2022-04-05,1.15
2022-04-06,1.033
2022-04-07,1.167
2022-04-08,1.1
2022-04-09,1.167
2022-04-10,0.8
2022-04-11,0.88
2022-04-12,1.154
2022-04-13,0.939
2022-04-14,0.939
2022-04-15,1.118
2022-04-16,1.077
2022-04-17,0.667
2022-04-18,0.923
2022-04-19,0.828
2022-04-20,0.853
2022-04-21,1.156
2022-04-22,0.889
2022-04-23,1.0
2022-04-24,0.9
2022-04-25,1.032
2022-04-26,1.057
2022-04-27,0.87
2022-04-28,0.841
2022-04-29,1.133
2022-04-30,0.8
2022-05-01,0.889
2022-05-02,0.957
2022-05-03,0.909
2022-05-04,0.808
2022-05-05,0.875
2022-05-06,1.0
2022-05-07,0.7
2022-05-08,0.667
2022-05-09,0.857
2022-05-10,0.95
2022-05-11,0.867
2022-05-12,1.1
2022-05-13,1.0
2022-05-14,1.111
2022-05-15,0.875
2022-05-16,0.9
2022-05-17,0.857
2022-05-18,0.977
2022-05-19,0.667
2022-05-20,1.171
2022-05-21,0.75
2022-05-22,1.25
2022-05-23,1.043
2022-05-24,0.852
2022-05-25,0.953
2022-05-26,0.943
2022-05-27,0.958
2022-05-28,0.857
2022-05-29,1.0
2022-05-30,1.1
2022-05-31,1.097
2022-06-01,0.773
2022-06-02,0.844
2022-06-03,1.0
2022-06-04,0.833
2022-06-05,0.875
2022-06-06,0.824
2022-06-07,0.818
2022-06-08,0.923
2022-06-09,0.861
2022-06-10,0.963
2022-06-11,0.833
2022-06-12,0.571
2022-06-13,1.238
2022-06-14,0.957
2022-06-15,1.024
2022-06-16,0.765
2022-06-17,0.913
2022-06-18,0.556
2022-06-19,0.444
2022-06-20,0.76
2022-06-21,0.973
2022-06-22,1.04
2022-06-23,1.1
